,0
34,w.b
35,government of tanzania
43,government of tanzania
47,government of tanzania
65,government of tanzania
71,government of tanzania
72,government of tanzania
75,government of tanzania
109,government of tanzania
124,danida
126,government of tanzania
132,government of tanzania
149,government of tanzania
151,government of tanzania
181,government of tanzania
184,w.b
189,unicef
190,government of tanzania
201,government of tanzania
205,he
213,government of tanzania
220,government of tanzania
232,government of tanzania
245,world vision
270,government of tanzania
307,government of tanzania
309,government of tanzania
319,government of tanzania
332,kkkt
352,danida
423,government of tanzania
426,government of tanzania
434,government of tanzania
449,danida
479,government of tanzania
512,government of tanzania
516,government of tanzania
535,government of tanzania
542,government of tanzania
551,government of tanzania
556,government of tanzania
560,government of tanzania
568,danida
581,government of tanzania
597,tcrs
610,government of tanzania
615,government of tanzania
627,government of tanzania
689,government of tanzania
694,government of tanzania
741,danida
769,government of tanzania
770,government of tanzania
775,danida
777,tcrs
829,government of tanzania
832,government of tanzania
848,government of tanzania
890,government of tanzania
899,government of tanzania
921,danida
922,government of tanzania
928,government of tanzania
935,hesawa
953,government of tanzania
972,government of tanzania
995,danida
1009,government of tanzania
1010,danida
1020,government of tanzania
1039,government of tanzania
1049,government of tanzania
1053,government of tanzania
1094,md
1118,government of tanzania
1120,hesawa
1121,government of tanzania
1128,government of tanzania
1135,government of tanzania
1148,government of tanzania
1187,government of tanzania
1212,government of tanzania
1243,unicef
1247,government of tanzania
1276,vwc
1302,government of tanzania
1335,government of tanzania
1338,government of tanzania
1380,government of tanzania
1387,government of tanzania
1392,kkkt
1413,government of tanzania
1419,tcrs
1426,government of tanzania
1433,government of tanzania
1439,government of tanzania
1455,government of tanzania
1467,danida
1472,government of tanzania
1477,government of tanzania
1487,government of tanzania
1524,government of tanzania
1530,danida
1572,danida
1587,government of tanzania
1588,government of tanzania
1628,hesawa
1649,government of tanzania
1653,danida
1660,government of tanzania
1686,government of tanzania
1697,government of tanzania
1717,danida
1725,government of tanzania
1734,government of tanzania
1735,government of tanzania
1753,government of tanzania
1781,danida
1801,government of tanzania
1817,government of tanzania
1822,government of tanzania
1826,government of tanzania
1831,government of tanzania
1845,government of tanzania
1852,government of tanzania
1854,government of tanzania
1864,government of tanzania
1867,government of tanzania
1875,government of tanzania
1880,government of tanzania
1884,government of tanzania
1886,tcrs
1901,0
1928,government of tanzania
1938,government of tanzania
1947,government of tanzania
1950,government of tanzania
1953,danida
1954,unicef
1976,tcrs
1987,government of tanzania
2016,ministry of water
2029,government of tanzania
2041,government of tanzania
2060,government of tanzania
2083,tcrs
2114,government of tanzania
2123,government of tanzania
2126,government of tanzania
2127,w.b
